============================================================
STARTING MODEL TESTING...
============================================================

Testing 100 samples with models: KNN, SVM, Random Forest, CNN

Sample 1/100: True text='47PP', Complexity=hard
  KNN            : 47PP (Confidence: 1.000, Time: 33.6ms) ✓
  SVM            : 47PP (Confidence: 0.960, Time: 14.3ms) ✓
  Random Forest  : 47PP (Confidence: 0.730, Time: 39.2ms) ✓
  CNN            : 47PP (Confidence: 0.999, Time: 206.7ms) ✓

Sample 2/100: True text='WAUB', Complexity=hard
  KNN            : WAUB (Confidence: 1.000, Time: 33.2ms) ✓
  SVM            : WAUB (Confidence: 0.909, Time: 13.1ms) ✓
  Random Forest  : WAUB (Confidence: 0.710, Time: 34.3ms) ✓
  CNN            : V4UB (Confidence: 0.871, Time: 206.3ms) ✗

Sample 3/100: True text='X8R5', Complexity=hard
  KNN            : X8P5 (Confidence: 0.917, Time: 33.5ms) ✗
  SVM            : X8R5 (Confidence: 0.961, Time: 13.4ms) ✓
  Random Forest  : X8R5 (Confidence: 0.802, Time: 38.3ms) ✓
  CNN            : X8R5 (Confidence: 1.000, Time: 212.0ms) ✓

Sample 4/100: True text='HMQ9', Complexity=simple
  KNN            : HMQ9 (Confidence: 1.000, Time: 36.7ms) ✓
  SVM            : HMQ9 (Confidence: 0.959, Time: 13.1ms) ✓
  Random Forest  : HMQ9 (Confidence: 0.995, Time: 33.8ms) ✓
  CNN            : HMQ9 (Confidence: 1.000, Time: 200.6ms) ✓

Sample 5/100: True text='R4S8', Complexity=simple
  KNN            : R4S8 (Confidence: 1.000, Time: 33.9ms) ✓
  SVM            : R4S8 (Confidence: 0.984, Time: 13.0ms) ✓
  Random Forest  : R4S8 (Confidence: 1.000, Time: 34.4ms) ✓
  CNN            : R4S8 (Confidence: 1.000, Time: 299.7ms) ✓

Sample 6/100: True text='73KG', Complexity=simple
  KNN            : 73KG (Confidence: 1.000, Time: 34.4ms) ✓
  SVM            : 73KG (Confidence: 0.978, Time: 14.1ms) ✓
  Random Forest  : 73KG (Confidence: 1.000, Time: 54.0ms) ✓
  CNN            : 73KG (Confidence: 1.000, Time: 226.0ms) ✓

Sample 7/100: True text='PZH3', Complexity=hard
  KNN            : PZH3 (Confidence: 1.000, Time: 33.4ms) ✓
  SVM            : PZH3 (Confidence: 0.995, Time: 13.5ms) ✓
  Random Forest  : PZH3 (Confidence: 0.920, Time: 55.3ms) ✓
  CNN            : RZH3 (Confidence: 0.875, Time: 212.4ms) ✗

Sample 8/100: True text='C64V', Complexity=simple
  KNN            : C64V (Confidence: 1.000, Time: 37.5ms) ✓
  SVM            : C64V (Confidence: 0.978, Time: 20.1ms) ✓
  Random Forest  : C64V (Confidence: 1.000, Time: 70.3ms) ✓
  CNN            : C64V (Confidence: 1.000, Time: 259.5ms) ✓

Sample 9/100: True text='EWYH', Complexity=hard
